club_id,club_code,name,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,last_season,url,transfer_euros
932,lokomotiv-moskau,274,RU1,29,24.1,7,24.1,9,RZD Arena,27084,€-4.80m,2022,https://www.transfermarkt.co.uk/lokomotiv-moskau/startseite/verein/932,-4800000.0
29,fc-everton,146,GB1,25,27.4,11,44.0,8,Goodison Park,39571,+€25.40m,2022,https://www.transfermarkt.co.uk/fc-everton/startseite/verein/29,25400000.0
290,aj-auxerre,16,FR1,33,25.7,21,63.6,10,Stade de l'Abbé-Deschamps,18541,€-1.25m,2022,https://www.transfermarkt.co.uk/aj-auxerre/startseite/verein/290,-1250000.0
1095,es-troyes-ac,140,FR1,27,25.4,13,48.1,4,Stade de l'Aube,21877,€-14.80m,2022,https://www.transfermarkt.co.uk/es-troyes-ac/startseite/verein/1095,-14800000.0
2420,vitoria-guimaraes-sc,467,PO1,29,24.1,12,41.4,4,Estádio D. Afonso Henriques,29865,+€13.49m,2022,https://www.transfermarkt.co.uk/vitoria-guimaraes-sc/startseite/verein/2420,13490000.0
294,benfica-lissabon,382,PO1,24,25.0,14,58.3,10,Estádio da Luz,65000,+€148.17m,2022,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294,148170000.0
331,ca-osasuna,82,ES1,22,27.8,4,18.2,3,El Sadar,23576,€-2.00m,2022,https://www.transfermarkt.co.uk/ca-osasuna/startseite/verein/331,-2000000.0
3522,spezia-calcio,411,IT1,29,25.8,22,75.9,10,Alberto Picco,11676,+€23.32m,2022,https://www.transfermarkt.co.uk/spezia-calcio/startseite/verein/3522,23320000.0
399,leeds-united,267,GB1,24,25.6,19,79.2,8,Elland Road,37890,€-31.09m,2022,https://www.transfermarkt.co.uk/leeds-united/startseite/verein/399,-31090000.0
410,udinese-calcio,449,IT1,27,25.4,22,81.5,9,Dacia Arena,25144,+€9.30m,2022,https://www.transfermarkt.co.uk/udinese-calcio/startseite/verein/410,9300000.0
583,fc-paris-saint-germain,319,FR1,26,25.3,16,61.5,13,Parc des Princes,49691,€-88.20m,2022,https://www.transfermarkt.co.uk/fc-paris-saint-germain/startseite/verein/583,-88200000.0
798,sbv-excelsior-rotterdam,147,NL1,28,23.6,10,35.7,1,Van Donge & De Roo Stadion - Woudestein,4400,+€2.63m,2022,https://www.transfermarkt.co.uk/sbv-excelsior-rotterdam/startseite/verein/798,2630000.0
